ID_CLIENTE;ESTC;NDEP;RENDA;TIPOR;VBEM;NPARC;VPARC;TEL;IDADE;RESMS;ENTRADA;ADIMPLENTE
310;S;4;500;NP;343;10;52;N;44;336;0;N
311;S;0;756;P;618;10;85;N;32;6;0;S
312;C;0;750;NP;499;3;182;N;30;48;0;N
313;C;0;500;NP;390;3;145;N;27;48;0;N
314;C;0;480;NP;518;12;71;N;34;30;0;N
315;S;0;1800;NP;479;10;73;S;24;1;0;N
316;C;0;500;NP;633;6;106;N;36;48;0;N
317;S;0;1903;NP;556;3;214;N;60;48;0;S
318;S;0;377;NP;561;12;77;N;64;120;0;N
319;S;3;1380;P;1074;2;360;N;38;140;360;S
320;S;0;575;NP;433;1;146;N;62;0;290;S
321;S;1;520;P;567;5;138;N;33;6;0;S
322;C;0;560;NP;829;6;142;N;30;48;142;N
323;S;3;3000;P;1944;10;266;N;41;6;0;S
324;S;0;1400;NP;450;12;61;N;36;0;0;N
325;S;0;1500;NP;1099;2;334;N;58;0;438;S
326;C;0;1500;P;457;2;248;N;36;48;0;S
327;C;0;688;P;489;10;74;N;60;6;0;S
328;S;0;786;NP;552;4;119;N;67;48;119;S
329;S;0;650;NP;464;6;103;N;48;0;0;N
330;S;0;450;NP;403;12;55;N;30;0;0;N
331;C;0;480;P;537;10;78;N;36;6;0;N
332;D;0;3500;NP;966;4;195;N;62;48;195;S
333;S;0;400;P;639;10;61;N;43;6;200;S
334;C;0;540;NP;498;6;102;N;21;48;0;N
335;C;0;521;NP;451;9;68;N;20;48;0;N
336;C;0;300;NP;558;12;76;S;40;48;0;N
337;C;0;1500;P;504;6;107;N;63;6;0;S
338;S;0;3200;P;380;4;111;N;49;6;0;S
339;S;0;432;NP;550;12;75;N;52;96;0;N
340;C;0;507;P;539;6;83;N;68;6;150;S
341;S;3;500;P;639;10;88;N;38;6;0;S
342;C;0;560;NP;640;11;77;N;38;132;100;N
343;S;0;400;NP;437;12;60;N;61;240;0;N
344;S;0;400;P;520;6;111;N;52;6;0;S
345;S;0;3000;P;438;6;93;N;38;6;0;S
346;S;0;750;NP;1290;10;177;N;28;6;0;N
347;S;0;758;P;379;12;52;N;41;6;0;S
348;C;0;1000;NP;999;12;123;N;32;48;0;N
349;S;0;400;P;348;10;51;N;27;6;0;S
350;C;0;700;P;450;9;74;N;35;6;0;N
351;C;0;729;P;495;12;67;N;24;6;0;N
352;S;0;400;NP;537;10;78;N;37;6;0;N
353;S;0;500;NP;456;10;70;N;35;120;0;N
354;C;0;320;NP;430;10;66;N;27;48;0;N
355;S;0;1000;P;599;12;81;N;49;6;0;S
356;S;0;1500;P;1000;10;151;N;26;6;0;S
357;C;0;5610;P;427;10;53;N;31;6;0;S
358;S;0;4000;P;369;10;56;N;34;6;0;S
359;V;0;400;P;479;15;59;S;41;180;0;S
360;S;0;378;NP;351;6;73;N;22;48;0;N
361;S;0;400;NP;398;6;56;N;26;0;150;N
362;C;0;450;P;479;10;73;N;28;6;0;S
363;S;0;492;P;480;10;67;N;39;6;0;S
364;S;2;564;P;618;10;89;N;34;6;0;S
365;S;0;2200;NP;2498;6;525;N;46;0;0;N
366;S;0;800;P;359;6;77;N;51;6;0;S
367;S;0;300;P;337;10;51;N;54;12;0;S
368;S;0;800;NP;510;10;78;S;35;96;0;N
369;S;0;4917;P;1645;12;220;N;66;6;0;S
370;C;0;2220;NP;747;10;103;N;19;6;0;N
371;D;0;573;P;616;12;84;N;35;48;0;S
372;S;0;980;P;661;12;89;N;41;6;0;S
373;C;0;2000;P;400;9;66;N;52;6;0;S
374;C;0;990;P;337;9;55;N;37;6;0;S
375;C;0;1500;P;525;12;71;N;44;6;0;N
376;C;0;500;NP;552;4;119;N;23;48;119;N
377;C;0;5500;P;442;1;442;N;30;0;0;N
378;S;0;900;P;464;10;71;N;39;6;0;S
379;C;0;860;P;773;6;164;N;61;6;0;S
380;C;0;1529;P;941;6;199;N;48;6;0;S
381;S;0;614;NP;389;9;51;N;63;48;51;S
382;C;0;5131;P;579;6;123;N;34;6;0;S
383;C;0;324;P;780;5;92;N;41;6;400;S
384;C;0;1350;NP;442;2;241;S;59;0;0;S
385;S;0;2500;P;455;10;69;N;29;6;0;N
386;C;0;600;NP;333;6;56;N;65;48;0;S
387;C;0;1233;NP;555;3;139;N;59;0;139;S
388;S;0;1235;NP;763;4;154;N;57;0;154;S
389;S;0;378;NP;704;8;89;N;34;0;0;N
390;S;0;5000;P;730;9;86;N;50;6;200;S
391;V;0;380;NP;448;15;56;N;59;420;0;N
392;C;0;2000;P;387;9;63;N;52;6;0;S
393;S;0;461;NP;420;12;57;N;31;6;0;N
394;C;0;1451;NP;527;3;196;N;23;48;0;N
395;C;0;450;P;500;6;107;N;28;6;0;N
396;C;0;450;P;448;10;69;S;35;0;0;S
397;C;0;720;NP;401;4;118;N;32;0;0;N
398;C;0;510;NP;410;10;63;N;31;6;0;N
399;C;0;600;NP;764;10;77;N;21;48;0;N
400;C;0;750;NP;586;10;89;N;34;6;0;N
401;C;0;390;NP;569;12;77;S;48;240;0;N
402;S;0;543;P;931;9;132;N;31;6;0;S
403;S;0;396;NP;556;12;76;N;51;36;0;N
404;S;0;450;NP;316;6;54;N;30;0;0;N
405;C;0;360;NP;399;10;61;S;41;0;0;N
406;S;0;400;P;511;10;78;N;28;6;0;S
407;C;0;1501;P;1059;10;118;N;54;6;200;S
408;C;0;757;NP;725;12;99;N;20;48;0;N
409;S;0;533;P;515;10;78;N;42;6;0;S
410;S;0;1555;NP;825;12;69;N;22;0;0;N
411;S;0;345;NP;318;6;72;N;36;0;0;N
412;S;0;895;NP;443;12;60;N;58;0;0;S
413;S;0;580;P;460;12;62;N;31;6;0;S
414;C;0;500;NP;350;3;128;N;63;48;0;S
415;C;0;450;NP;511;12;70;N;28;14;0;N
416;C;0;1529;P;630;6;133;N;48;6;0;S
417;S;0;423;P;597;12;75;N;66;6;40;N
418;S;0;411;P;459;10;64;N;41;6;0;N
419;S;0;2486;NP;549;3;208;N;62;48;0;S
420;S;0;2500;NP;829;12;102;N;32;48;0;N
421;C;0;412;P;610;12;69;N;37;36;100;S
422;S;0;500;NP;574;6;95;N;44;360;150;S
423;S;0;754;NP;698;11;97;N;60;48;0;S
424;C;0;566;NP;556;12;76;N;41;120;0;N
425;S;0;800;P;418;10;61;N;40;6;0;S
426;S;2;1500;P;849;10;117;N;38;6;0;S
427;S;0;850;NP;886;9;124;N;24;48;124;N
428;C;0;1200;NP;695;12;98;S;63;14;0;N
429;C;0;1400;P;698;3;223;N;31;6;100;S
430;C;0;590;P;894;10;123;N;63;6;0;S
431;C;0;417;NP;596;12;81;N;26;0;0;N
432;S;0;1526;NP;718;6;123;N;63;48;123;S
433;S;0;1200;P;535;10;81;N;41;6;0;N
434;C;0;480;NP;471;12;65;S;27;120;0;N
435;C;0;2000;NP;384;1;401;N;22;48;0;N
436;S;0;300;NP;529;12;58;N;34;12;100;N
437;S;0;5000;P;365;3;133;N;54;48;0;S
438;C;0;400;NP;646;10;98;S;35;14;0;N
439;D;0;490;NP;429;10;66;N;44;10;0;N
440;C;0;600;P;330;10;51;N;28;6;0;S
441;S;0;306;NP;304;9;51;N;35;0;0;N
442;C;0;1780;NP;478;2;256;N;31;48;0;N
443;C;0;600;P;849;10;117;N;55;6;0;S
444;C;0;450;P;459;10;70;N;27;6;0;S
445;S;0;1334;P;503;10;76;N;41;6;0;S
446;S;3;1500;P;560;12;76;N;48;6;0;S
447;S;0;1400;P;420;10;58;N;44;6;0;S
448;C;0;480;NP;445;12;61;N;25;24;0;N
449;S;0;631;P;469;5;76;N;48;6;157;S
450;C;0;1674;P;480;10;67;N;43;6;0;N
451;S;0;360;NP;337;10;51;S;29;60;0;N
452;S;0;1000;P;782;10;118;N;38;6;0;S
453;C;0;700;NP;348;3;129;N;64;48;0;S
454;S;0;1978;NP;485;6;102;N;59;48;0;S
455;S;0;2429;P;505;10;77;N;26;6;0;S
456;D;0;1500;NP;391;8;70;S;34;0;0;N
457;S;0;493;NP;443;12;60;N;54;0;0;N
458;C;0;600;P;800;12;107;N;28;6;0;N
459;S;0;500;P;563;10;85;N;32;6;0;S
460;S;1;600;P;347;6;74;N;44;6;0;S
461;C;0;1740;NP;400;2;168;N;60;48;100;S
462;S;0;1453;P;774;10;117;N;58;6;0;S
463;S;0;3500;P;470;5;92;S;43;24;92;S
464;S;0;600;NP;524;10;80;N;67;120;0;S
465;S;0;4000;NP;336;9;51;N;42;48;0;N
466;C;0;800;NP;336;3;125;N;25;48;0;N
